,CustomerID,FullName,DateOfBirth,Gender,Employer,EmploymentType,TotalInflows,TotalOutflows,AverageMonthlyInflows,AverageMonthlyOutflows,NetPosition,MonthlySalaryDeducted,JudiciaryCaseCount,JudiciaryCaseFlag,JudiciaryCaseDetails,TravelBan,LegalRestrictions
11,1001112,Jaber bin Saleh Al-Qahtani,8-Aug-61,Male,Saudi Aramco,Salaried,71821,50527.69,5985.08,4210.64,21293.31,12563,2,True,"ENF-2024-33897, Debt Enforcement, SAR 12612",False,Enforcement Order
12,1001113,Samira bin Majed Al-Harthy,9-Dec-89,Female,SABIC,Salaried,49031,35428.85,4085.92,2952.4,13602.15,15043,1,True,"ENF-2024-33483, Debt Enforcement, SAR 27159",True,Enforcement Order
13,1001114,Rania Al-Amri,3-Sep-65,Female,Self-Employed,Self-Employed,33009,25173.86,2750.75,2097.82,7835.14,13786,0,False,Not Applicable,False,Not Applicable
14,1001115,Fahad bin Yahya Al-Harbi,13-Jul-79,Male,Self-Employed,Self-Employed,39875,34614.74,3322.92,2884.56,5260.26,16085,0,False,Not Applicable,True,Not Applicable
15,1001116,Talal bin Zaid Al-Mutairi,1-Mar-59,Male,Bank AlJazira,Salaried,31524,23085.26,2627.0,1923.77,8438.74,12403,0,False,Not Applicable,False,Not Applicable
16,1001117,Latifa Al-Shammari,24-Apr-56,Female,STC,Salaried,51114,36376.73,4259.5,3031.39,14737.27,15617,0,False,Not Applicable,False,Not Applicable
17,1001118,Dina Al-Zahrani,21-Oct-92,Female,STC,Salaried,36320,25508.13,3026.67,2125.68,10811.87,15083,0,False,Not Applicable,False,Not Applicable
18,1001119,Maha Al-Dossary,21-Aug-85,Female,Self-Employed,Self-Employed,62168,46757.57,5180.67,3896.46,15410.43,10526,0,False,Not Applicable,False,Not Applicable
19,1001120,Fatimah bint Ibrahim Al-Qahtani,24-May-94,Female,Saudi Aramco,Salaried,77911,58111.69,6492.58,4842.64,19799.31,17299,0,False,Not Applicable,False,Not Applicable
20,1001121,Talal bin Abdulrahman Al-Rashid,25-Jun-91,Male,Self-Employed,Self-Employed,14999,16402.32,1249.92,1366.86,-1403.32,4355,0,False,Not Applicable,False,Not Applicable
21,1001122,Majed bin Hamad Al-Mutairi,20-May-76,Male,SABIC,Salaried,5370,5579.37,447.5,464.95,-209.37,8066,0,False,Not Applicable,False,Not Applicable
22,1001123,Saud bin Nasser Al-Amri,19-Dec-80,Male,SABIC,Salaried,22353,23003.35,1862.75,1916.95,-650.35,7119,0,False,Not Applicable,False,Not Applicable
23,1001124,Ibrahim bin Hamad Al-Mutairi,15-Aug-95,Male,SABIC,Salaried,15735,15044.61,1311.25,1253.72,690.39,7274,0,False,Not Applicable,False,Not Applicable
24,1001125,Wafa Al-Zahrani,25-Sep-89,Female,Al Rajhi Bank,Salaried,26994,21912.09,2249.5,1826.01,5081.91,4873,0,False,Not Applicable,True,Not Applicable
25,1001126,Khadija Al-Hazzaa,5-Sep-80,Female,Self-Employed,Self-Employed,20999,21298.57,1749.92,1774.88,-299.57,9719,1,True,"ENF-2024-90077, Debt Enforcement, SAR 45920",False,Enforcement Order
26,1001127,Faisal bin Saleh Al-Johani,5-Dec-67,Male,SABIC,Salaried,26575,25180.73,2214.58,2098.39,1394.27,6961,0,False,Not Applicable,False,Not Applicable
27,1001128,Ziyad bin Abdulrahman Al-Shehri,3-Dec-56,Male,SABIC,Salaried,29063,24724.85,2421.92,2060.4,4338.15,4517,0,False,Not Applicable,False,Not Applicable
28,1001129,Hessa bint Khalid Al-Hazzaa,23-May-84,Female,SABIC,Salaried,27440,23984.24,2286.67,1998.69,3455.76,8792,0,False,Not Applicable,True,Not Applicable
29,1001130,Bader bin Abdulaziz Al-Amri,3-Nov-67,Male,STC,Salaried,29204,24306.64,2433.67,2025.55,4897.36,5412,0,False,Not Applicable,False,Not Applicable
